FID,line,route,grade,shape
GISDATA.MBTA_ARC.22,SILVER,SL4,3,"LINESTRING (236039.59369861335 900305.5000010766, 236083.07399917394 900308.0419995226, 236093.76970081776 900309.2123991363, 236133.7117990479 900313.5832999833, 236157.05849941075 900316.4238991961, 236196.2654004544 900321.0625989325, 236239.99999971688 900322.4374005161, 236241.31580152363 900322.3858010545, 236265.276899077 900321.4410001673, 236300.817500405 900317.6608984768, 236363.5983003527 900308.1504001766, 236409.42950110137 900301.1195013449)"
GISDATA.MBTA_ARC.23,SILVER,SL4,3,"LINESTRING (236570.56829845905 900250.8514986336, 236592.86109872162 900243.1500999667, 236592.91730115563 900243.2997995242, 236593.02359990776 900243.5833002888, 236611.88139987737 900293.8805986196, 236616.95179991424 900306.2505009621, 236623.93190075457 900318.6107015125, 236630.70199871808 900331.4409012198, 236580.9002996981 900351.0402009599, 236560.20120110363 900362.3713000864, 236445.87479881942 900316.8448997699, 236413.23999926448 900303.1464002207, 236409.42950110137 900301.1195013449)"
GISDATA.MBTA_ARC.24,SILVER,SL4,3,"LINESTRING (236409.42950110137 900301.1195013449, 236415.28879968077 900300.2206990086, 236486.94979926944 900273.2700012401, 236503.4402986169 900271.0499988906, 236518.18289978802 900268.9488006607, 236570.56829845905 900250.8514986336)"
GISDATA.MBTA_ARC.25,BLUE,Bowdoin to Wonderland,7,"LINESTRING (236094.83750027418 901277.2155984566, 236103.49589958042 901273.2608987391, 236143.84250127524 901254.4608012214, 236180.92100100964 901237.4347009808, 236201.3524005115 901227.2188000865, 236214.21639902145 901218.8951985091, 236222.54000059515 901210.9494991973, 236230.48569990695 901201.1123987138, 236237.67420069128 901184.8431009427, 236242.21259863675 901169.982799612, 236245.25029930472 901160.5328011028, 236250.65029845387 901145.6823013611, 236260.7541000992 901124.3063005619, 236266.80799905956 901112.577399727, 236273.61809860915 901101.2263013646, 236278.53689989448 901092.1460002288, 236282.32060039043 901084.5792011209, 236288.75229870528 901073.9848989919, 236298.58939918876 901064.9046009742, 236307.29190097004 901057.7156012207, 236316.45310030133 901052.3498000465, 236336.8034986928 901043.7164987996, 236348.53239952773 901039.9328014255, 236395.10500025004 901025.8661014028, 236442.6036999449 901012.1926001161, 236451.51459855586 901009.6791987345, 236457.34060041606 901008.308600951, 236462.4816012159 901007.1658004709, 236467.50789877772 901006.7090987861, 236471.3038988188 901006.8687995188, 236537.08049864322 901020.3037008606, 236557.87229912728 901025.1016990356, 236809.23000107706 901077.8427990451, 236827.79309847206 901082.2301003262, 236882.807499893 901093.0308002941, 236931.81260068715 901103.0997989662, 236947.29700100422 901106.5997991078, 236971.91039855778 901112.26870111, 237240.4405010864 901161.7678013928, 237258.98420111835 901164.9468002543, 237269.08999863267 901167.5908000991, 237278.9362988323 901170.7867014781, 237288.37599990517 901174.4756012969, 237297.32480131835 901178.6473985836, 237306.45779963583 901183.6123013347, 237315.5755014941 901189.2785993479, 237324.62050069124 901195.6120010987, 237333.51649888605 901202.558300022, 237342.00339999795 901209.894298669, 237349.73360155523 901217.3105998747, 237357.16120124608 901225.2383987308, 237366.53790145367 901237.0026015043, 237375.5450009629 901251.3079014681, 237388.4330995977 901271.4048992954, 237724.22109875828 901832.1784989275, 237887.30130004883 902101.9867000505, 237904.25569868088 902130.0370999947, 237914.9002000466 902145.0360986516, 237965.70289926976 902213.7409007661, 237982.15340014547 902240.3515990712, 237995.21659889072 902260.6729014255, 238011.6671995595 902283.4134001322, 238034.8915001154 902309.0564011857, 238069.72750031203 902349.6988998652, 238108.43470116705 902397.114699252, 238138.91610115767 902428.0800008848, 238166.97880064696 902450.3366010673, 238191.17029948533 902465.3356995173, 238219.71680081636 902480.818001058, 238250.6820993349 902494.3656004108, 238283.0993990302 902502.1070006639, 238298.58219953626 902506.4616008736, 238316.88980070502 902509.562199492, 238338.7404005155 902511.2999998108, 238386.640101552 902519.0414000638, 238465.02170153707 902535.0080990903, 238475.18230126053 902536.4596013092, 238490.3367999643 902542.1605993807)"
GISDATA.MBTA_ARC.26,BLUE,Bowdoin to Wonderland,7,"LINESTRING (239005.82910139114 903122.6663987003, 239006.05150048435 903122.9182992429, 239100.63160101324 903231.950598836)"
GISDATA.MBTA_ARC.27,BLUE,Bowdoin to Wonderland,1,"LINESTRING (238683.50460063666 902748.5063987076, 238719.44779999554 902792.1226990484, 238733.20010070503 902808.442701254, 238741.1986001134 902816.5071984492, 238750.61989863962 902825.312599767, 238757.58819890767 902832.4636998326, 238768.22350055724 902845.4828990139, 238783.07609908283 902865.1031990424, 238798.66240100563 902886.5570013225, 238810.7645013407 902902.3265988976, 238823.23380109668 902917.9129008204, 238842.4875004664 902941.5672987439, 238872.9264009148 902976.7740004882, 238892.27749870718 902998.2400991917, 238905.93250077963 903013.2641990259, 238918.76830139756 903026.8337997198, 238933.43770094216 903042.4195995592, 238946.45680033416 903055.4386989474, 239005.82910139114 903122.6663987003)"
GISDATA.MBTA_ARC.28,BLUE,Bowdoin to Wonderland,7,"LINESTRING (238673.47649857402 902736.3373993225, 238683.50460063666 902748.5063987076)"
GISDATA.MBTA_ARC.29,BLUE,Bowdoin to Wonderland,6,"LINESTRING (238490.3367999643 902542.1605993807, 238490.42149966955 902542.1924989894, 238502.09920022637 902548.068201121, 238512.3904015273 902554.1989005096, 238523.11880113184 902561.862499278, 238530.56330022216 902567.5553984903, 238538.28020118177 902574.8320013136, 238547.08190078288 902583.8170994818, 238556.25030083954 902594.0857006833, 238673.47649857402 902736.3373993225)"
GISDATA.MBTA_ARC.30,ORANGE,Forest Hills to Oak Grove,1,"LINESTRING (234827.9781986922 906869.1178985983, 234829.1478997469 906971.4006015509, 234828.99429889023 907068.1665002219, 234830.52770035714 907222.746998772, 234828.68759926409 907531.4476985037, 234828.23390074074 907566.1874011233, 234828.394699201 907609.0314996168, 234828.394699201 907654.088599328, 234830.3745984733 907699.2162000015, 234831.90799994022 907721.1456990279, 234833.4415012002 907740.9284004495, 234836.50840081275 907770.6791999936, 234839.1390002668 907794.8055991828, 234844.2338996008 907837.5622006357, 234851.07729898393 907883.0872007273, 234855.72779929638 907910.6112992838, 234860.97430049628 907939.6816009358, 234866.10609846562 907965.5913998224, 234870.5533007756 907986.4471991062, 234878.30400053412 908017.664900247, 234883.1874000877 908036.1870012358, 234895.4528997466 908081.6873991191, 234920.18710041046 908166.4372007102, 234929.31349989027 908196.6277994178, 234938.7184011042 908227.9370984845, 234978.65599927306 908363.6248007417, 235002.2028011307 908443.312500745, 235014.04639896005 908483.1245992742, 235049.52089959383 908601.6746010073, 235068.93029860407 908665.4478002042, 235075.86219919473 908691.0959000811, 235084.8436985612 908723.1246008985, 235105.3226995468 908795.7666014507, 235144.67300068587 908933.3841004185, 235171.47819957137 909024.5210986771, 235223.40320108086 909201.1283013262, 235238.41400031745 909251.5219003521, 235244.42999958992 909273.0321015343, 235248.06420011073 909287.5176004358, 235252.20479946584 909303.0208991431, 235255.262898542 909316.6201010756, 235262.4621988535 909350.6241013072, 235267.6701984927 909377.1227003634, 235271.345900625 909399.0264994539, 235273.9498988837 909418.3259011135, 235288.50149847567 909537.8000994995, 235290.6457014531 909553.8829986677, 235294.4750013277 909581.4541997388, 235299.3763013333 909625.4145006351, 235302.8994005397 909656.3552000597, 235305.80959945917 909680.5564006902, 235309.4858005643 909714.8664986715, 235311.66180022806 909753.4482996762)"
GISDATA.MBTA_ARC.31,ORANGE,Forest Hills to Oak Grove,7,"LINESTRING (234826.7740002796 906763.812198922, 234827.9781986922 906869.1178985983)"
